Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
6069-infrared-thermometer-non-contact-ir-thermometer-forehead-temperature-gun,6069 Infrared Thermometer Non Contact IR Thermometer Forehead Temperature Gun,Title,Default Title,,,,,6069_Thermometer_Gun,,,55
7260_5pc_s_hwb,7260 Hot Water Bottle Bag For Pain Relief With Cover (Pack of 5Pcs),Title,Default Title,,,,,7260_5Pc_S_HWB,,,440
7349_12pair_coolest_mix_socks,7349 Men's Pattern Dress Funky Fun Colorful Crew Socks 12 Assorted Patterns,Title,Default Title,,,,,7349_12Pair_Coolest_Mix_Socks,,,278
7259_hwb_pack_3,7259 Personal Care Rubber Hot Water Heating Bag for Pain Relief (Pack Of 3Pc),Title,Default Title,,,,,7259_HWB_Pack_3,,,403
6066-ultra-soft-unisex-woollen-beanie-cap-plus-muffler-scarf,6066 Ultra Soft Unisex Woollen Beanie Cap Plus Muffler Scarf,Title,Default Title,,,,,6066_Beanie_Cap_Muffler_Set,,,0
2180b-compact-powerful-hand-held-vegetable-chopper-950-ml,2180B Compact & Powerful Hand Held Vegetable Chopper (950 ml),Title,Default Title,,,,,2180B_2In1_5B_Chopper_950Ml,,,1322
1791-paper-cutter-18-mm,1791 Paper Cutter (18 mm) (Pack of 12Pcs),Title,Default Title,,,,,1791_12Pc_Knife_Cutter,,,56
6068-remover-descale-powder-for-washing-machine-deep-cleaner,6068 Remover Descale Powder For Washing Machine Deep Cleaner,Title,Default Title,,,,,6068_Ind_Scalegone_100Gm,,,612
2622-kitchen-storage-container-for-multipurpose-use-1000ml-pack-of-4,2622 Kitchen Storage Container for Multipurpose Use (1000ml) (Pack of 4),Title,Default Title,,,,,2622_4PC_Storage_Cont_1000Ml,,,142
6067-vaporiser-steamer-for-cough-and-cold,6067  Vaporiser steamer for cough and cold,Title,Default Title,,,,,6067_3in1_Setu_Vaporizer,,,0
2617-square-stainless-steel-barbecue-grill-with-wooden-handle,2617 Square Stainless Steel Barbecue Grill with Wooden Handle,Title,Default Title,,,,,2617_B_SS_Squ_BBQ_WH_Jali,,,514
2616-square-stainless-steel-barbecue-grill-with-steel-handle,2616 Square Stainless Steel Barbecue Grill with Steel Handle,Title,Default Title,,,,,2616_B_SS_Squ_BBQ_Jali,,,334
2618-2-in-1-double-julienne-and-vegetable-peeler,2618 2-in-1 Double Julienne and Vegetable Peeler,Title,Default Title,,,,,2618_2in1_Y_Veg_Peeler,,,0
1790-solid-imitation-copper-lock,1790 Solid Imitation Copper Lock,Title,Default Title,,,,,1790_20mm_Copper_Lock,,,82
2619-nonstick-grill-sandwich-toaster,2619 Nonstick Grill Sandwich Toaster,Title,Default Title,,,,,2619_Sandwich_Toaster,,,0
1476-shampoo-massage-silicone-brush-soft-washing-combs-massager,1476A Shampoo Massage silicone Brush Soft Washing Combs Massager (1Pc Only),Title,Default Title,,,,,1476A_Silicone_Head_Massager,,,111
pubg-mobile-game-metal-controller-joystick-attachment-accessory,8048 PUBG Mobile Game Metal Controller Joystick Attachment Accessory,Title,Default Title,,,,,8048_PUBG_Game_Controller,,,782
8047-dancing-cactus-toy,"8047 Dancing Cactus Talking Toy, Chargeable Toy",Title,Default Title,,,,,8047_Dancing_Cactus_Toy,,,0
7348_120pair_mix_socks,"7348 Winter Comfortable Socks for Men, Women And Child",Title,Default Title,,,,,7348_120Pair_Mix_Socks,,,0
7422_extension_board_b2,7422 Extension Board 250V 8 Way Extension Board (9Meter Wire Length),Title,Default Title,,,,,7422_Extension_Board_B2,,,69
7421_extension_board_b1,7421 Extension Board 250V 6 Way Extension Board (9 Meter Wire Length),Title,Default Title,,,,,7421_Extension_Board_B1,,,64
1485-liquid-soap-dispenser-on-countertop-with-sponge-holder-for-pet-1,1485 Liquid Soap Dispenser on Countertop with Sponge Holder For Pet,Title,Default Title,,,,,1485_Pet_Soap_Dispenser,,,292
2615-dry-fruit-chocolates-sweet-box-1,2615 Dry fruit Chocolates Sweet Box,Title,Default Title,,,,,2615_4in1_Dry_Fruit_Box,,,557
8046-squid-game-halloween-costume-cosplay-mask-pack-of-4,8046 Squid Game Halloween Costume Cosplay Mask (Pack of 4 Mask),Title,Default Title,,,,,8046_Squid_G_4Pc_Mask_CMB,,,0
8045-squid-game-halloween-costume-cosplay-mask-square,8045 Squid Game Halloween Costume Cosplay Mask Square (1Pc Only),Title,Default Title,,,,,8045_Squid_G_Square_Mask,,,71
8044-squid-game-halloween-costume-cosplay-mask-triangle,8044 Squid Game Halloween Costume Cosplay Mask Triangle (1Pc Only),Title,Default Title,,,,,8044_Squid_G_Triangle_Mask,,,0
8043-squid-game-halloween-costume-cosplay-mask-round,8043 Squid Game Halloween Costume Cosplay Mask Round (1Pc only),Title,Default Title,,,,,8043_Squid_G_Round_Mask,,,75
8042-squid-game-halloween-costume-cosplay-mask,8042 Squid Game Halloween Costume Cosplay Mask (1Pc Only),Title,Default Title,,,,,8042_Squid_G_Supervisor_Mask,,,0
7344-womens-crew-socks-with-fresh-little-flowers-printed-high-quality-socks-pack-of-20pair,"7344 Women's Crew Socks With fresh little flowers Printed ,high quality socks (Pack Of 20Pair)",Title,Default Title,,,,,7344_20Pair_F_Fancy_Socks,,,51
6059-golf-toilet-cleaner-brush-magic-sticker-holder,6059 Golf Shape Toilet Cleaner Brush  & Magic Sticker Holder,Title,Default Title,,,,,6059_Golf_Toilet_Brush,,,92
socks-4,7347 School Girl Student Wearing White Socks (1Pair),Title,Default Title,,,,,7347_1Pair_G_White_M_Socks,,,123
socks-3,7346 Small Size Baby Girls Fashion Socks,Title,Default Title,,,,,7346_1Pair_S_Baby_G_Socks,,,407
socks-2,7345 High Attractive Ankle Socks For Women (1 Pair Only),Title,Default Title,,,,,7345_1Pair_F_Fancy_L_Socks,,,329
7339-kids-girls-mix-n-match-small-size-socks-12pair-1,7339 Kids Girls' Mix N Match Small Size Socks (12Pair),Title,Default Title,,,,,7339_12Pc_S_Mix_Kids_Socks,,,41
7342,7342 Cotton Fancy Ladies Socks (1 Pair),Title,Default Title,,,,,7342_Soft_Mix_C_F_Socks,,,440
7341_mix_color_f_l_socks,7341 Girls Fashion Socks (1 Pair Only),Title,Default Title,,,,,7341_Mix_Color_F_L_Socks,,,370
0281-universal-car-various-function-holder,0281A 360 Degree Flexible Portable Foldable Metal-Lazy Stand Bracket,Title,Default Title,,,,,0281A_Metal_Flexi_Mob_Stand,,,518
1665-led-light-flashing-jumping-ring-ankle-skipping-jump-rope-for-kids-1,1665 Led Light Flashing Jumping Ring Ankle Skipping Jump Rope for Kids,Title,Default Title,,,,,1665_Flashing_Jumping_Light,,,586
0079-manual-2-in-1-handy-smart-chopper-for-vegetable-fruits-nuts-onions-chopper-blender-mixer-food-processor-750-ml,0079 Manual 2 in 1 Handy smart chopper for Vegetable Fruits Nuts Onions Chopper Blender Mixer Food Processor (750 ml),Title,Default Title,,,,,0079_ring_chopper,,,646
8041-multi-store-water-ring-game-for-kids-1,8041 Multi Store Water Ring Game for Kids,Title,Default Title,,,,,8041_Mob_Water_Ring_Toss,,,594
2612-kitchen-press-set-15-of-pcs,2612 Kitchen Press Set 15 Of Pcs,Title,Default Title,,,,,2612_BB_Lock_Kitch_Press_15Pc,,,557
1788-deer-tree-shaped-jewellery-display-holder-earring-necklace-holder-organiser,1788 Deer Shaped Jewellery Display Holder Earring Necklace Holder (1Pc Only),Title,Default Title,,,,,1788_Deer_Jewellery_Tree,,,150
6060-professional-nail-polish-dryer-machine-and-salon-decorator-shaper-manicure-kit,6060 Professional Nail Polish Dryer Machine,Title,Default Title,,,,,6060_Mini_LED_Nail_Lamp,,,28
6055-velvet-electric-pain-relief-heating-bag-1,6055 Premium Extra Soft Velvet Electric Pain Relief Heating Bag (1Pc Only),Title,Default Title,,,,,6055_Pre_Ele_V_Heating_Bag,,,622
6056-velvet-electric-pain-relief-heating-bag-1pc-only,6056 Velvet Electric Pain Relief Heating Bag (1Pc Only),Title,Default Title,,,,,6056_Ele_V_Heating_Bag,,,106
1787-snowflake-multi-tool-stainless-steel-snowflake-bottle-opener,1787 Snowflake Multi-Tool Stainless Steel Snowflake Bottle Opener,Title,Default Title,,,,,1787_18in1_Snowflake_Tool,,,667
2613-plastic-fold-able-fruit-squeezer,2613 Plastic Foldable Fruit Squeezer,Title,Default Title,,,,,2613_Plastic_F_Press_Juicer,,,112
4737-19-cavity-mix-shape-chocolate-mould-1pc-only,4737 19 Cavity Mix Shape Chocolate Mold (1Pc Only),Title,Default Title,,,,,4737_19Cavity_Choco_Mould,,,134
7420_lw_7inch_rafter_squ,7420  Light Weight Double Side Scale Triangle Measurement Hand Tool,Title,Default Title,,,,,7420_LW_7Inch_Rafter_Squ,,,625
6057-toe-separator-bunion-corrector-straightner-hallux-valgus-pain-relief,6057 Toe Separator Bunion Corrector Straightener Hallux Valgus Pain Relief (1Pair),Title,Default Title,,,,,6057_Sili_Tiptoe_Protector,,,764
8028-8-hole-battery-operated-bubbles-gun-toys-for-boys-and-girls-1pc-only,8028  8-Hole battery operated Bubbles Gun Toys for Boys and Girls (1Pc Only),Title,Default Title,,,,,8028_Gatling_Bubble_Gun,,,465
4688-baby-proofing-child-safety-strap-locks-1pc-only,4688 Baby Proofing Child Safety Strap Locks (1Pc Only),Title,Default Title,,,,,4688_Child_Safe_Strip_Lock,,,6478
