PRODUCT NAME,CATEGORY,Variant SKU,prod code,HSN CODE,GST%,MRP,DISCOUNT,SELLING RATE WITHOUT GST,Image Src
1288 Women's Cotton Secret Cami,"Beauty, Health & Personal Care",1288_3Pc_Cami_Secret,1288,630492,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/1288_ddec843d-1284-40ae-895d-faf25bf5f962.jpg?v=1632486306
1289 All Universal Tablet & Mobile Holder with Anti-Slip & Anti-Scratch Design,Mobile Accessories,1289_Tablet_Holder_RM_C16,1289,342690,18%,700,20,474,https://cdn.shopify.com/s/files/1/1916/9825/products/128910.jpg?v=1632738785
1316 Stainless Steel Fancy Water Bottle (500 ml),"Kitchen Storage, Container & Rack",1316_500Ml_Fancy_Bottle,1316,732399,12%,300,5,254,https://cdn.shopify.com/s/files/1/1916/9825/products/31OfQ4h6PwL.jpg?v=1610075295
1330 Multi Surface Disinfectant Spray (350 ml),Cleaning supplies,1330_Wonder_Guard_Sparay,1330,340119,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/1330-1photo_e766f849-0e6e-49bb-ae36-a281898129e4.jpg?v=1618532244
1384 4 in 1 Travel Dispenser Bottle Set Travel Refillable Cosmetic Containers Set,Travel,1384_Smart_Travel_Bottle_Set,1384,392690,18%,500,25,317,https://cdn.shopify.com/s/files/1/1916/9825/products/13841.jpg?v=1617332436
1387 Smooth Facial Roller & Massager Natural Massage Jade Stone,"Beauty, Health & Personal Care",1387_Facial_Roller,1387,851629,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/1387SKUCODE.jpg?v=1617924708
1389 Self Adhesive 6 Wall Hook,Home Improvement,1389_Loose_Magic_Sticker_Hook,1389,392690,12%,300,15,227,https://cdn.shopify.com/s/files/1/1916/9825/products/1389_fb6ab0b3-416b-466d-9abf-a102d80e420b.jpg?v=1622733036
1398 Silicon Toilet Brush with Slim Holder Stand& Flat Head with Flexible Soft Bristles,Home Improvement,1398_Slim_Toilet_Brush,1398,39249090,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_f75dc5cc-bb56-426f-9ae3-4d4f0ede1728.jpg?v=1622733049
1409 Stainless Steel Water Bottle (1000 ml),"Kitchen Storage, Container & Rack",1409_SS_Dallas_Bottle_1000ml,1409,73239990,12%,600,35,348,https://cdn.shopify.com/s/files/1/1916/9825/products/01_98a0e91d-ef7a-418f-bf73-f6254fe307d7.jpg?v=1628184509
1436 Waterproof Hands Free Rain Head Wearing Umbrella Cap,Toys For Kids,1436_Large_UFO_Umbrella_Cap,1436,401590,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_1aecc8a3-803c-45c8-991e-47fb3b4ee61e.jpg?v=1622733050
1447 VR Pro Virtual Reality 3D Glasses Headset,Mobile Accessories,1447_Premium_VR_Box,1447,8529,18%,1000,30,593,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-8_07e8f36e-3f13-4617-8362-e567302e8d64.jpg?v=1628184536
1471 Cockroach Traps Box Cockroach Bug Roach Catcher Cockroach Killer,Kitchen,1471_Cockroach_Catcher,1471,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/147101.jpg?v=1631015195
1481 Wireless Security CCTV False Outdoor Fake Dummy Piece IR Camera,Home Improvement,1481_Dummy_IR_Camera,1481,392620,18%,1000,50,424,https://cdn.shopify.com/s/files/1/1916/9825/products/148101.jpg?v=1632400085
1486 Women Mesh bodystocking Lingerie Fishnet Dresses Fishnet Bodysuits,Socks,1486_Body_Stocking_Clothes,1486,61091000,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/01_157143f9-b280-465a-aad1-7436d2f2e3e7.jpg?v=1626974859
1514 Wheel Padlock Disc Lock Security for Motorcycles Scooters Bikes,Security,1514_Moto_Lock,1514,830140,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/515KB5ES5-L._SL1143.jpg?v=1606577541
1525 21 pcs T Shape Screwdriver Set Batch Head Ratchet Pawl Socket Spanner Hand Tools,Power & Hand tools,1525_21_pc_red_t_screwdriver,1525,820740,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/04_bf9f3e09-8907-469c-92af-7469ce6e326d.jpg?v=1606577709
1529 Disc Lock Security for Motorcycles Scooters Bikes,Automotive,1529_Disc_Lock,1529,830110,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/1529DiscLockSecurityforMotorcyclesScootersBikes.jpg?v=1606577784
1538 Self Adhesive Transparent Packing Tape- 200 metres,Office Supply,1538_Cello_Tape_200_Mtr,1538,391910,18%,400,15,288,https://cdn.shopify.com/s/files/1/1916/9825/products/8f238212-21f6-48b8-8a6e-420d08ab7c4e.jpg?v=1607644607
1550 4 Digits Hand Held Tally Counter Numbers Clicker,Sports,1550_Hand_Tally_Counter,1550,902910,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/1550_89df25a1-1afa-4731-a9d9-90833fe689c9.jpg?v=1626365297
1552 Multipurpose Reusable Gel for Hot n Cold Therapy,"Beauty, Health & Personal Care",1552_Hot_N_Cold_Gel_Pad,1552,902110,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/fdffff.jpg?v=1609470044
1573 Magnifying Glass with 3 Led Light 3X Power and Rubberized Handle,Stationery,1573_3X_Magnifier,1573,701310,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/1573SKUCODE.jpg?v=1612489134
1596 Grommet Rivets Eyelet Setting Pliers Tool,Hardware,1596_Grommet_Setting_Tool,1596,850750,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/1596SKUCODE.jpg?v=1615511432
1601 Non Wooven Fabric Disposable Handy Wipe Cleaning Cloth Roll (1Pc),Cleaning Supplies,1601_40Pulls_Tissue_Roll,1601,480300,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/1601SKUCODE.jpg?v=1619126213
1610 Digital Multi-Purpose Kitchen Weighing Scale (SF400A),Kitchen Tools,1610_Square_SF400A_Scale,1610,84231000,18%,800,40,407,https://cdn.shopify.com/s/files/1/1916/9825/products/electronic-compact-digital-kitchen-weighing-scale-sf-400a-sf-original-imaerkyrnemajhwf_6b613e47-42c2-4d17-af46-c8e5fb41e018.jpg?v=1619126233
1614 Silicone Gel Shoe Pads Foot Insoles Cushion Pad (1Pair),"Beauty, Health & Personal Care",1614_Shoe_Cooling_Gel_Pad,1614,90211000,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_217e6cfc-1189-42db-bdbf-1a1fafd89b9b.jpg?v=1619723009
1615 Knee Strap for Men/Women To Reduce Pain Stiffness (1pc),"Beauty, Health & Personal Care",1615_Knee_Cooling_Pack_1Pc,1615,90211000,18%,400,15,288,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_37811fae-47d0-4fea-b42d-ecbe0051d922.jpg?v=1619723027
1622 Stylish Umbrella Folding Plastic Wine Bottle Deco Umbrella (Multicolor),Travel,1622_Heart_Winebottle_Umbrella,1622,660199,18%,500,20,339,https://cdn.shopify.com/s/files/1/1916/9825/products/1622_d871b507-ddbf-4f3d-b058-80e6dc65a622.jpg?v=1621546558
1623 Stylish Umbrella Folding Plastic Wine Bottle Deco Umbrella (Multicolor),Travel,1623_Apple_Winebottle_Umbrella,1623,660199,18%,500,20,339,https://cdn.shopify.com/s/files/1/1916/9825/products/1623.jpg?v=1620939926
1635 Jet Water Cannon 8 in 1 Turbo Water Spray Gun,Garden,1635_Ez_Jet_Water_Cannon,1635,8201,18%,600,25,381,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_cef225a4-a162-4f27-bbf2-e58db76da80a.jpg?v=1622733194
1639 Stylish Banana Shaped Mini Foldable Umbrella,Travel,1639_Banana_Umbrella,1639,660199,18%,600,20,406,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_4357e4c5-3d07-4d3b-8c76-8d5b0cffcb94.jpg?v=1623344978
1644 Rose umbrella Lightweight Waterproof UV Protection Mini Folding Creative Rose Flower Case,Travel,1644_Rose_Umbrella,1644,660199,18%,500,15,360,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_a757a52c-8186-4830-9fd8-aed13a3275fa.jpg?v=1623345091
1666 Multi-Level Back Stretcher Posture Corrector Device For Back Pain Relief,Sports,1666_Adj_Back_Stretcher_box,1666,392620,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/hasdhsdkjasghd.jpg?v=1624558699
1673 Multi-Level Back Stretcher Posture Corrector Device for Back Pain,Sports,1673_Cn_Back_Stretcher,1673,392620,18%,500,5,402,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_87611697-b10c-4165-b21c-ac48bf53690a.jpg?v=1625166234
1677 3 Arm 360° Sector Rotating Water Sprinkler Garden Pipe Hose Irrigation Yard,Garden,1677_3In1_Garden_Sprinklers,1677,392690,18%,500,15,360,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_c09756a5-6abc-4e80-ac51-180bb944452a.jpg?v=1625755397
1682 Pruning Shear Cutter for All Purpose Garden Use,Garden,1682_200MM_G_Pruning_Shear,1682,732393,12%,1500,30,937,https://cdn.shopify.com/s/files/1/1916/9825/products/168201.jpg?v=1630602494
1683 Motorcycle Two-Three-Wheel Flat tire Emergency Power Booster,Automotive,1683_Emergency_Wheel_Puller,1683,732393,12%,2000,55,803,https://cdn.shopify.com/s/files/1/1916/9825/products/168301.jpg?v=1632573340
1684 Instant Heating Electric Water Heater Faucet Tap,Home Improvement,1684_Electric_Heating_Faucet,1684,392410,18%,2000,40,1017,https://cdn.shopify.com/s/files/1/1916/9825/products/cf3cd2fe-7585-4c82-9d1b-3e0590e52fba.jpg?v=1626365333
1693 Water Spray Gun Trigger High Pressure Water Spray Gun for Car/Bike/Plants,,1693_Brass_Nozzle_Spray_Gun,1693,392690,18%,500,15,360,https://cdn.shopify.com/s/files/1/1916/9825/products/169301_2.jpg?v=1632485581
1697 Magic Toy Metal High Elasticity Steel Silver Appearing Cane Magic Toy Magic Steel,Toys For Kids,1697_Magic_Appearing_Stick,1697,732393,12%,600,40,321,https://cdn.shopify.com/s/files/1/1916/9825/products/169701_1.jpg?v=1632401412
1701 Multipurpose Clear Face Shield Reusable Anti-fog Anti-Scratch Protective Fashion Wear for Men,"Beauty, Health & Personal Care",1701_Face_Shield_Protector,1701,900390,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/170101.jpg?v=1631188478
1718 Bicycle Horn with LED Light Work On Battery,Automotive,1718_Bicycle_Horn_Light_FY56,1718,940540,18%,600,35,330,https://cdn.shopify.com/s/files/1/1916/9825/products/171808.jpg?v=1629438175
1722 Anti Mosquito Racket - Rechargeable Insect Killer Bat,"Beauty, Health & Personal Care",1722_Ele_Mosquito_Racket,1722,380891,18%,600,15,432,https://cdn.shopify.com/s/files/1/1916/9825/products/172203.jpg?v=1630602508
1729 Woodworking Folding Multi-purpose Gardening Saw Outdoor Logging Saw,Garden,1729_Folding_Hand_Saw_270MM,1729,820290,18%,500,30,296,https://cdn.shopify.com/s/files/1/1916/9825/products/1729.jpg?v=1630750798
1734 30 Meter Measuring Tape,Hardware,1734_30Mtr_M_Tape,1734,901790,18%,500,20,339,https://cdn.shopify.com/s/files/1/1916/9825/products/01_8ca23636-f607-49a4-ad72-d9d5751453b0.jpg?v=1631362615
1735 High Pressure Bicycle Air Pump Tyre Inflator for Cycles,Automotive,1735_Bicycle_Air_Pump,1735,841410,12%,600,25,401,https://cdn.shopify.com/s/files/1/1916/9825/products/173501.jpg?v=1632137383
1739  Floor Cleaning Spray Mop with Removable Washable Cleaning Pad,Home Improvement,1739_Cn_Aurora_Spray_Mop,1739,392620,18%,2000,60,678,https://cdn.shopify.com/s/files/1/1916/9825/products/1739014.jpg?v=1632230911
1746 Garden Sharp Cutter Pruners Scissor with grip-handle,Garden,1746_8inch_Pruning_Shears,1746,820890,18%,700,45,326,https://cdn.shopify.com/s/files/1/1916/9825/products/174601.jpg?v=1632552048
1802 Unique & Premium Analogue Watch 10 Messi Print Multicolour Dial Leather Strap (Watch 2),Watch,1802_Watch_wt2,1802,911310,18%,350,20,237,https://cdn.shopify.com/s/files/1/1916/9825/products/10_w_2_406377ca-474c-4516-b339-10ebc10200a9.jpg?v=1606577824
1819 Unique & Premium Analogue Stylish Watch with Metallic Wrist Band,Watch,1819_Watch_Wt19,1819,911310,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/1819SKUCODE.jpg?v=1615511472
"1918 Non-Toxic Creative 50 Dough Clay Mould 5 Different Colors, (Pack of 6 Pcs)",Toys For Kids,1918_AT18_50G_Dough_Mold_6Pc,1918,950300,12%,350,0,312,https://cdn.shopify.com/s/files/1/1916/9825/products/1918SKUCODE.jpg?v=1616712155
2008_Double Sided Vegetable Peeler,Kitchen,2008_dual_sided_peeler,2008,392410,18%,200,0,169,https://cdn.shopify.com/s/files/1/1916/9825/products/1_029cfcc3-b510-407c-8d1d-f063707ca12c.jpg?v=1606577964
2035 Plastic Flour Strainer/Shifter,Kitchen,2035_Plastic_Flour_Strainer,2035,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/bf92ebfd-0c8e-456f-a2d6-dbf84fcaf1cc.jpg?v=1606815625
2152 Premium Vegetable Dicer Multi Chopper Set 5 in 1 Cutting Blades,Kitchen,2152_Premium_Nicer_Dicer_5in1,2152,392410,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2020-11-10at12.14.45PM.jpg?v=1606579724
2191 Non Stick Microwave & Oven Proof Baking Paper (10Meter),Kitchen,2191_10Mtr_Baking_Paper,2191,392410,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/226573d3-f842-462a-a746-5c1372b6a7e9.jpg?v=1610075411
"2197 Manual Food Chopper, Compact & Powerful Hand Held Vegetable Chopper(900ml)",Kitchen Tools,2197_2in1_Jumbo_Chopper_900Ml,2197,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/11111_8462bdd0-2dad-4520-89d1-a872f912c7e5.jpg?v=1632834830
2207 Non Stick Steel Baking Tray,Kitchen,2207_Steel_Baking_Tray_Blk,2207,392410,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/165146514F6FF.jpg?v=1611889208
2208 Steel Non-Stick Round Plate Cake Pizza Tray Baking Mould,Kitchen,2208_Steel_Pizza_Tray,2208,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/2208.jpg?v=1611889222
"2240 Stainless Steel Kitchen Tool Set (Butcher Knife, Standard Knife, Peeler and Kitchen Scissor) - 4 Pcs",Kitchen,2240_4Pc_Kitchen_Tool_Set,2240,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE2240.jpg?v=1613085880
2241 Multipurpose 12 in 1 Vegetable and Fruit Chopper Cutter Grater Slicer,Kitchen,2241_12In1_Multi_Cutter,2241,392410,18%,500,5,403,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE224101.jpg?v=1613085890
2276 Insulated Water Jug 7 Litres (Multicolour),"Kitchen Storage, Container & Rack",2276_Insulated_Jug_7Ltr,2276,392410,18%,800,0,678,https://cdn.shopify.com/s/files/1/1916/9825/products/2276SKUCODE.jpg?v=1614288585
2278 Lemon Squeezer Press with Deep Bowl (Multicolour),Kitchen,2278_Aluminium_Lemon_Squeez,2278,761510,12%,400,0,357,https://cdn.shopify.com/s/files/1/1916/9825/products/2278SKUCODE.jpg?v=1614288596
2280 Food Covers Mesh Net Kitchen Umbrella Practical Home Using Food Cover (Multicolour),Kitchen,2280_Umbrella_Food_Cover,2280,950300,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/228001.jpg?v=1630602565
2281 Stainless Steel Garlic Presser /Crusher (Multicolour),Kitchen,2281_Round_Garlic_Press,2281,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/2281.SKUCODE.jpg?v=1616117778
2282 Portable Hand Crank Air Blower Fan for Charcoal Grill BBQ,Kitchen,2282_Bbq_Air_Blower,2282,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/2282SKUCODE.jpg?v=1614900220
2294 Stainless Steel Vegetable Cutter Chopper For Daily Use (Chilly Cutter),Kitchen,2294_SS_Chilly_Cutter,2294,732393,12%,250,0,223,https://cdn.shopify.com/s/files/1/1916/9825/products/2294.jpg?v=1616712191
2296 Designer Tableware Dinner Set (Pack of 32),Kitchen,2296_Premium_Tableware_32Pc,2296,392410,18%,1500,35,826,https://cdn.shopify.com/s/files/1/1916/9825/products/2296.jpg?v=1616712214
2303 Folding Shopping Portable Storage Basket,"Kitchen Storage, Container & Rack",2303_Multipurpose_Folding_Basket,2303,392410,18%,450,15,324,https://cdn.shopify.com/s/files/1/1916/9825/products/d89e5b8f-bbe3-4e38-8f52-25be57e60e51.jpg?v=1620322265
2338 Muffin Cupcake Mould Bakeware Pan Tray Mould Maker 24 Slot Round Shape,Kitchen,2338_24Cavity_Muffin_Tray,2338,73239990,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_1734f36c-0568-4c5c-ab1b-4d9e2a1403dd.jpg?v=1619126400
2339 Stainless Steel Deep Fry /Mesh Strainer,Kitchen Tools,2339_SS_Square_Skim_Fry,2339,82159900,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/2339.jpg?v=1619126411
2340 Multi Purpose Unbreakable Drinking Glass (Set of 6 Pieces) (300ml),Kitchen,2340_Magic_Glass_6pc_300ml,2340,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_6326d6c4-8987-43cb-905e-c86e0691d8e0.jpg?v=1619126425
2369 Manual Fruit & Vegetable Juicer with Steel Handle Fruit Juicer,Kitchen,2369_Excellent_Fruit_Juicer,2369,392410,18%,700,25,445,https://cdn.shopify.com/s/files/1/1916/9825/products/01_02e6435a-466f-4478-a8d5-9747be310f49.jpg?v=1620940288
2374 Electric Mini Garlic Chopper (250ml),Kitchen,2374_Usb_Garlic_Chopper,2374,392410,18%,600,10,457,https://cdn.shopify.com/s/files/1/1916/9825/products/1_e43bcfe1-4ce2-4cf3-9ed8-a56d8b9013be.jpg?v=1628184685
2387 Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer,Kitchen,2387_Nicer_Dicer_12_in_1,2387,3924,18%,600,15,432,https://cdn.shopify.com/s/files/1/1916/9825/products/2_ced8378b-31c0-49d7-b187-060d174019a4.jpg?v=1622137601
2395 Non-Slip Wooden Bamboo Cutting Board with Antibacterial Surface,Kitchen,2395_Bamboo_Cutting_Board,2395,392410,18%,400,0,339,https://cdn.shopify.com/s/files/1/1916/9825/products/23951.jpg?v=1622733280
2433 Veg Drill Vegetable Spiralizer Digging for Stuffed Vegetables,Kitchen,2433_Vegetable_Drill_Cutter,2433,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/243301.jpg?v=1632316189
"2448 Air Tight Plastic Transparent Container Set (10000ml, 7000ml, 5000ml, 3000ml, 2000ml, 1000ml, 750ml, 500ml)","Kitchen Storage, Container & Rack",2448_8Pc_Floral_Container,2448,392410,18%,1000,10,762,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_f197b319-c6d2-4b75-a597-a8dc9ffd7cb8.jpg?v=1625755487
2449 Nonstick Eggs Boiler Cookers Without Egg Shell,Kitchen,2449_6Pc_Egg_Cup_Cooker,2449,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/244901.jpg?v=1630602589
2464 Wall Mounted Grain Storage Box Cereal Dispenser,"Kitchen Storage, Container & Rack",2464_3Pc_Wall_Cont_1100Ml,2464,392410,18%,700,5,563,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_a9a559bf-e3bb-46bf-b771-010c5f80cc7d.jpg?v=1626365429
2485 Portable USB Rechargeable Electric Chopper Fruit Vegetable Onion Chopper Garlic Chopper,Kitchen Tools,2485_Usb_Chooper_250Ml,2485,392410,18%,1000,45,466,https://cdn.shopify.com/s/files/1/1916/9825/products/2485.jpg?v=1632487865
2488 Carbon Steel Oven Bakeware Baking Set,Kitchen Tools,2488_5Pc_Bakeware_Set,2488,732393,12%,2500,45,1227,https://cdn.shopify.com/s/files/1/1916/9825/products/248801.jpg?v=1632570790
"2489 Plastic 13-in-1 Manual Vegetable Grater,Chipser and Slicer",Kitchen,2489_13In1_Nicer_Dicer,2489,392410,18%,500,0,423,https://cdn.shopify.com/s/files/1/1916/9825/products/01_4bc01c1f-f106-4890-a688-a237e1c5dc06.jpg?v=1634124889
2523 Ice Cream Serving Spoon Scooper (Stainless Steel),Kitchen,2523_Cn_SS_Icecream_Scoop,2523,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/252304.jpg?v=1629392208
2532 Spice Jar Easy Flow Storage  Each 6Pc Set Of 4,"Kitchen Storage, Container & Rack",2532_Spice_Jar_24Pcs_Set,2532,392410,18%,700,10,534,https://cdn.shopify.com/s/files/1/1916/9825/products/233201.jpg?v=1630602627
"2533 Yogurt Maker Machine, Stainless Steel Inner Container Electric Yogurt Maker",Kitchen,2533_Electric_Yogurt_Maker,2533,392410,18%,1000,40,508,https://cdn.shopify.com/s/files/1/1916/9825/products/253301.jpg?v=1630602644
2558 Portable Seal Pour Food Storage Bag Clip Snack Sealing Clip,Kitchen,2558_4Pc_Seal_Pour_Food_Clip,2558,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/2558_7.jpg?v=1632395408
2559 Pot Stand for Home Garden Balcony Living Room Decor,Home Decor,2559_Premium_SS_Pot_Stand,2559,732393,12%,600,5,509,https://cdn.shopify.com/s/files/1/1916/9825/products/255901_1.jpg?v=1632143395
2562 Jumbo Stainless Steel Potato and Chips Maker & Slicer for Kitchen,Kitchen Tools,2562_2in1_SS_Jumbo_Slicer,2562,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/2562.jpg?v=1633934636
2563 Wall Mounted Oil Dispenser Bottle,Kitchen,2563_Wall_M_Oil_Dispenser,2563,392410,18%,600,20,406,https://cdn.shopify.com/s/files/1/1916/9825/products/256307.jpg?v=1632136588
2570 Rotating Cake Stand for Decoration and Baking,Kitchen,2570_Bx_White_Cake_Stand,2570,392410,18%,600,35,330,https://cdn.shopify.com/s/files/1/1916/9825/products/2570.jpg?v=1633956008
2573 Round Shape Carbon steel Muffin Cupcake Mould Case Bakeware,Kitchen,2573_6_Cavity_Brownie_Pan,2573,732393,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/257301_6c2b1e1f-3ff4-4fc5-9753-7fd982acfc82.jpg?v=1632546878
2575 Space Saver Spice Rack  9 Piece Spice Set,Kitchen Tools,2575_9Pc_Round_Spice_Rack,2575,392410,18%,600,20,406,https://cdn.shopify.com/s/files/1/1916/9825/products/2475.jpg?v=1632571668
"2576 Stainless Kitchen Tool Set (Butcher Knife, Standard Knife, Peeler and Kitchen Scissor) - 4 Pcs",Kitchen Tools,2576_Knife_Set_4pc,2576,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/257601.jpg?v=1633005763
2579 Utility Knife Stainless Steel Blade with Strong Grip (pack of 12),Kitchen Tools,2579_12Pc_SS_Curly_Knife,2579,732393,12%,400,15,303,https://cdn.shopify.com/s/files/1/1916/9825/products/2579.jpg?v=1633754556
2581 Manual Aluminium Fruit Press Juicer,Kitchen Tools,2581_Black_Alu_Fruit_Press,2581,732393,12%,700,15,531,https://cdn.shopify.com/s/files/1/1916/9825/products/2581.jpg?v=1633324012
2584 Fridge Bags for Fruits and Vegetables with Zip Net (Multicolour),Kitchen,2584_3Pc_Fridge_Net_Bag,2584,950300,18%,200,0,169,https://cdn.shopify.com/s/files/1/1916/9825/products/2584.jpg?v=1633611549
3076 Pinata Cake Wooden Hammer,Kitchen,3076_Pinata_Cake_Hammer_9Inch,3076,442090,18%,200,0,169,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE3076_7d0146a7-d7bc-46b5-8b48-406909e6d954.jpg?v=1626975045
3077 Electric Camphor Diffuser Kapoor Dani,Home Decor,3077_Premium_Kapoor_Dani,3077,851679,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/3077SKUCODE.jpg?v=1613085946
"3502 Silicone Chocolate Molds Reusable Multi Shape 14 Cavity Candy Baking Mold (Brown, 8-inch) Pack of 1",Kitchen,3502_Silicon_Mold_14_Cavity,3502,391000,18%,300,20,203,https://cdn.shopify.com/s/files/1/1916/9825/products/ChocolateMolds.jpg?v=1606580193
"4608 Heart Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",,4608_Heart_Fidget_Toy,4608,391000,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/4608.jpg?v=1632482291
"4609 Octagon Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Toys For Kids,4609_Octagon_Fidget_Toy,4609,391000,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/460902.jpg?v=1632481908
4648 High Speed Multicolor Cube (pack of 6),Toys For Kids,4648_Magic_Cube_6Pc,4648,392690,18%,600,10,457,https://cdn.shopify.com/s/files/1/1916/9825/products/464801.jpg?v=1627574240
4661 Reusable Silicone Cleaning Brush Scrubber Gloves (Multicolor),Gloves,4661_Scrubber_Gloves_180G,4661,391000,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/466101.jpg?v=1628792179
4670 4Layer with Plastic Modular Drawer System,Home Improvement,4670_4Layer_Basket_Drawer,4670,392410,18%,2000,35,1101,https://cdn.shopify.com/s/files/1/1916/9825/products/467001_a4ce2369-5a91-4571-af38-d753df8e8de5.jpg?v=1630007798
4690 Silicone Anti Slip Food Grade Round Coasters Trivets Mat Pads,Kitchen,4690_4Pc_Big_Sili_Hot_Mate,4690,391000,18%,600,35,330,https://cdn.shopify.com/s/files/1/1916/9825/products/469008_9f22371a-f997-4b4d-9a21-4a9063fa91a7.jpg?v=1632207656
4692 High Speed Multicolor Cube (Pack of 12),Toys For Kids,4692_12Pc_Small_Cube,4692,392690,18%,400,10,305,https://cdn.shopify.com/s/files/1/1916/9825/products/469201.jpg?v=1632224281
"4695 Round Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Toys For Kids,4695_Round_Fidget_Toy,4695,391000,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/4695_6.jpg?v=1632477617
"4696 Square Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Toys For Kids,4696_Square_Fidget_Toy,4696,391000,18%,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/469603.jpg?v=1632476949
4697 3 Layer Shower Caddy For Bathroom Hanging,Home Improvement,4697_3Layer_Shower_Caddy,4697,392410,18%,600,5,483,https://cdn.shopify.com/s/files/1/1916/9825/products/469701_1.jpg?v=1632749197
4702 Apple Shape Mobile Holder Multi Angle Adjustable Fold (40 pc),Mobile Accessories,4702_Fancy_Apple_Mob_Stand,4702,392690,18%,500,5,402,https://cdn.shopify.com/s/files/1/1916/9825/products/4702_9967f0ef-c2f3-454e-997d-769ac381b76f.jpg?v=1633611669
6005 Plastic Non-Slip Folding Toilet Squat Stool - White Color,Home Improvement,6005_Toilet_Folding_Stool,6005,392690,18%,500,0,423,https://cdn.shopify.com/s/files/1/1916/9825/products/6005.jpg?v=1633761877
