PRODUCT NAME,PROD CODE,CATEGORY,MRP,DISCOUNT,GST%,SELLING RATE,SELLING RATE WITHOUT GST,HSN CODE,Image Src
1467 Long Lightweight Aluminum Tripod Stand,1467,Mobile Holder & Stand,699,0,18,699,592,900610,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_1420699d-5855-4693-a188-1341aed51290.jpg?v=1624558593
1734 30 Meter Measuring Tape,1734,Hardware,499,15,18,424,359,901790,https://cdn.shopify.com/s/files/1/1916/9825/products/01_8ca23636-f607-49a4-ad72-d9d5751453b0.jpg?v=1631362615
1712 Electric Octopus Claw Scalp Massager Stress Relief Therapeutic Head Scratcher,1712,"Beauty, Health & Personal Care",999,30,18,699,593,901910,https://cdn.shopify.com/s/files/1/1916/9825/products/01_77469e98-3fee-4d2e-91c6-341ce2f0d97b.jpg?v=1634618922
1482 Mushroom Usb Electric Hand Massager,1482,"Beauty, Health & Personal Care",399,0,18,399,338,901910,https://cdn.shopify.com/s/files/1/1916/9825/products/1482SKUCODE.jpg?v=1626974816
1263 Dolphin Handheld Body Massager for Agony Stress Pain (8 Inch),1263,"Beauty, Health & Personal Care",299,0,18,299,253,901910,https://cdn.shopify.com/s/files/1/1916/9825/products/1263SKUCODE.jpg?v=1616711878
0350 Multi-Function Beauty Equipment Skin Face Massage Bar (Beauty Vibrating Massage Tool),0350,"Beauty, Health & Personal Care",739,40,18,443,376,901910,https://cdn.shopify.com/s/files/1/1916/9825/products/2_d47e7e17-b3bb-4f37-b360-e656cea405b8.jpg?v=1615511153
1221 Dolphin Handheld Body Massager to Aid Pain and Stress,1221,"Beauty, Health & Personal Care",499,15,18,424,359,901910,https://cdn.shopify.com/s/files/1/1916/9825/products/ruhi-portable-usb-chargeable-dolphin-body-massager-red-maxtop08-original-imaf3hztgann5fkn.jpg?v=1611278260
1552 Multipurpose Reusable Gel for Hot n Cold Therapy,1552,"Beauty, Health & Personal Care",299,0,12,299,267,902110,https://cdn.shopify.com/s/files/1/1916/9825/products/fdffff.jpg?v=1609470044
1550 4 Digits Hand Held Tally Counter Numbers Clicker,1550,Sports,299,5,18,284,241,902910,https://cdn.shopify.com/s/files/1/1916/9825/products/1550_89df25a1-1afa-4731-a9d9-90833fe689c9.jpg?v=1626365297
"0429 8-inch Magnetic Torpedo Level with 1 Direction Pin, 2 Vials and 360 Degree View",0429,Hardware Fitting,299,0,18,299,253,903180,https://cdn.shopify.com/s/files/1/1916/9825/products/0429.jpg?v=1633063827
1819 Unique & Premium Analogue Stylish Watch with Metallic Wrist Band,1819,Watch,299,0,18,299,253,911310,https://cdn.shopify.com/s/files/1/1916/9825/products/1819SKUCODE.jpg?v=1615511472
1802 Unique & Premium Analogue Watch 10 Messi Print Multicolour Dial Leather Strap (Watch 2),1802,Watch,304,5,18,289,245,911310,https://cdn.shopify.com/s/files/1/1916/9825/products/10_w_2_406377ca-474c-4516-b339-10ebc10200a9.jpg?v=1606577824
1320 Adjustable Laptop Stand Holder with Built-in Foldable Legs and High Quality Fibre,1320,Computer Accessories,499,35,12,324,290,940320,https://cdn.shopify.com/s/files/1/1916/9825/products/1320.jpg?v=1631687911
1911 54 Pcs Blocks 4 Dices Wooden Tumbling Stacking Building,1911,Toys For Kids,499,10,12,449,401,940360,https://cdn.shopify.com/s/files/1/1916/9825/products/1911SKUCODE.jpg?v=1616712076
0492 Multi Purpose Brick Thin Slim Bright Lens Led Light,0492,Home Decor,499,30,18,349,296,940510,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_aa97df0e-102f-4a89-8590-fa21a1dbdc65.jpg?v=1619125542
6033 Portable Electric Heater Mini Fan Heater Desktop Household,6033,Home Improvement,999,15,18,849,720,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/6033_3aa999ea-88cc-407e-9d0a-9d69391a4be3.jpg?v=1636008511
6015 Fairy Warm White Clip Lights for Photos ( 10Pc Clip ),6015,Home Decor,299,0,18,299,253,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/6015.jpg?v=1634357285
6014 Lantern Shape Decorative Led Lamp Set of 24pcs,6014,Home Decor,599,0,18,599,508,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/6014.jpg?v=1634044383
"1255 Solar Lights for Garden LED Security Lamp for Home, Outdoors Pathways",1255,Home Decor,499,10,18,449,381,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/1255_3cb78e8d-531e-422e-8c2a-57b709600ee4.jpg?v=1628791713
1256 Desk Lamp with Pen Holder Table Lamp with Pencil Stand for Home Office,1256,Home Decor,399,0,18,399,338,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/01_d7762f03-cd47-44af-a1cf-6a3c68893308.jpg?v=1637153725
1219 Eco Friendly Electronic Mosquito Killer Lamp,1219,Repellents,599,10,18,539,457,940520,https://cdn.shopify.com/s/files/1/1916/9825/products/121901.jpg?v=1632719477
"1222  Festival Decorative - LED Yellow Tealight Candles (White, 24 Pcs)",1222,Home Decor,599,5,18,569,482,940530,https://cdn.shopify.com/s/files/1/1916/9825/products/1222_1f7bedac-d91f-4dd4-bbc0-229cc9fe3c7e.jpg?v=1634618294
"7221 Festival Decorative - LED Tealight Candles (White, 24 Pcs)",7221,Home Decor,999,40,18,599,508,940530,https://cdn.shopify.com/s/files/1/1916/9825/products/722104.jpg?v=1632749574
1234 Colour Changing Good Night Star Master Rotating Projection Night Lamp,1234,Home Decor,499,0,18,499,423,940530,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2020-09-21at1.48.51PM.jpg?v=1606576653
1718 Bicycle Horn with LED Light Work On Battery,1718,Automotive,599,20,18,479,406,940540,https://cdn.shopify.com/s/files/1/1916/9825/products/171808.jpg?v=1629438175
1321 Portable Moonlight Shaped Air Humidifier/Freshner,1321,Home Decor,999,25,18,749,635,940540,https://cdn.shopify.com/s/files/1/1916/9825/products/1321_46fc4235-cdb2-491d-995b-41f0d88a8dfd.jpg?v=1628791768
1587 40 Watt LED Rechargeable Dual Mode Head Torch,1587,Sports,399,10,18,359,304,940540,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE11111.jpg?v=1614900121
1562 Rechargeable Bicycle LED Bright Light with Horn Speaker,1562,Automotive,799,35,18,519,440,940540,https://cdn.shopify.com/s/files/1/1916/9825/products/edb03c7e-026c-4294-82e2-d22a8dc2f836.jpg?v=1610665528
0206 Night Lamps White Flower Pot Color Changing Light & Mushrooms Light Sensor LED Decorative Night Lamp Night Lamp,0206,Home Decor,359,20,18,287,243,940540,https://cdn.shopify.com/s/files/1/1916/9825/products/0206.jpg?v=1618531228
8028  8-Hole battery operated Bubbles Gun Toys for Boys and Girls (1Pc Only),8028,Toys For Kids,599,40,12,359,321,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/01_1_38cc54f3-a87e-419c-bc7b-44fca83c4ba4.jpg?v=1637587737
8038  Blocks House Multi Color Building Blocks with Smooth Rounded Edges (110Pc Set),8038,Toys For Kids,499,0,12,499,446,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/8038.jpg?v=1635852761
4720 Blocks for Kids House Construction Building,4720,Toys For Kids,599,10,12,539,481,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/01_1882ebcf-aa5d-4004-8340-94af8ac3eea6.jpg?v=1635233234
8032 Archer King Bow & Arrow Set For Kids,8032,Toys For Kids,599,0,18,599,508,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/8032.jpg?v=1634977841
8015 Plastic Baby Kids Teddy Stacking Ring Jumbo Stack Up Educational Toy 9pc,8015,Toys For Kids,499,0,12,499,446,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/1_9d9c0e37-f7a5-4d61-a759-238784c274b0.jpg?v=1631625692
4662 Portable Magnetic Score Dart Board Set,4662,Sports,999,10,18,899,762,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/4662.jpg?v=1628792196
"4603 Musical Learning Study Book with Numbers, Letters",4603,Toys For Kids,999,20,18,799,677,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/4603.jpg?v=1621546832
1908 Beauty Make up Set for Kids Girls with Fold-able Suitcase (Multicolour),1908,Toys For Kids,449,5,12,427,381,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/1908.jpg?v=1617924766
1903 Kids Doctor Set Toy Game Kit for Boys and Girls Collection (Multicolour),1903,Toys For Kids,399,0,12,399,356,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/1903.jpg?v=1617924752
1906 Fun Filled Business Game with Plastic Money Coins for Young Businessmen,1906,Toys For Kids,499,5,12,474,423,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/1906SKUCODE.jpg?v=1616712062
1912 Wooden Xylophone Musical Toy for Children (MultiColor),1912,Toys For Kids,499,25,12,374,334,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/1912SKUCODE.jpg?v=1616712092
2280 Food Covers Mesh Net Kitchen Umbrella Practical Home Using Food Cover (Multicolour),2280,Kitchen,299,0,18,299,253,950300,https://cdn.shopify.com/s/files/1/1916/9825/products/228001.jpg?v=1630602565
0403 Cold Eye Mask with Stick-on Straps (Green),0403,"Beauty, Health & Personal Care",264,10,18,238,201,950590,https://cdn.shopify.com/s/files/1/1916/9825/products/1_5d6e3d1b-6997-4bed-8e64-2bcca3bcfdee.jpg?v=1617924397
1443 Portable Push Up Board System Body Building Exercise Tool,1443,Sports,1499,45,18,824,699,950699,https://cdn.shopify.com/s/files/1/1916/9825/products/1_1a87dfbb-21b0-4039-a28a-95758e525dda.jpg?v=1622733133
1270 Foldable Multipurpose Microfiber Fan Cleaning Duster for Quick and Easy Cleaning,1270,Cleaning Supplies,399,0,18,399,338,960330,https://cdn.shopify.com/s/files/1/1916/9825/products/e0e40483-2e68-49c6-bd40-2d97d4afc937.jpg?v=1606577136
1142 Scratch Cleaning Mop with 2 in 1 Self Clean Wash Dry Hands Free Flat Mop,1142,Cleaning Supplies,1299,30,18,909,771,960390,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-05-13at11.18.01AM.jpg?v=1625642165
1271 Automatic Liquid Dispenser Dish Clean Brush Scrubber,1271,Kitchen,299,0,18,299,253,960390,https://cdn.shopify.com/s/files/1/1916/9825/products/1271.jpg?v=1606577167
1767 Smart Finger Arc Lighter USB Rechargeable Lighter,1767,Computer Accessories,599,20,18,479,406,961380,https://cdn.shopify.com/s/files/1/1916/9825/products/1767.jpg?v=1636951658
1774 Smart Finger Arc Lighter USB Rechargeable Lighter,1774,Computer Accessories,499,10,18,449,381,961380,https://cdn.shopify.com/s/files/1/1916/9825/products/1_ac546611-5cf8-42cb-9ed6-943834fe74fe.jpg?v=1636549680
1775 Smart Finger Arc Lighter USB Rechargeable Lighter,1775,Computer Accessories,499,10,18,449,381,961380,https://cdn.shopify.com/s/files/1/1916/9825/products/1775_05307f79-f30c-4602-aaf2-31570ed30003.jpg?v=1636543373
1773 Smart Finger Arc Lighter USB Rechargeable Lighter,1773,Computer Accessories,599,25,18,449,381,961380,https://cdn.shopify.com/s/files/1/1916/9825/products/01_5276e380-1399-405e-a251-5881a3428529.jpg?v=1636457039
1640 Girl Musician Playing  Pen Stand Showpiece,1640,Home Decor,399,15,18,339,287,970600,https://cdn.shopify.com/s/files/1/1916/9825/products/01_a1ca5abf-32c1-4039-ad14-d2e2c85b7149.jpg?v=1623345001
1285 Organic Bio Fungicide for Seeds and Young Plants (500gm),1285,Garden,299,0,12,299,267,38089990,https://cdn.shopify.com/s/files/1/1916/9825/products/128501_5618a126-4787-41ae-ad5b-2344108eae72.jpg?v=1631007525
1284 Organic Bio Fungicide for Seeds and Young Plants (1 Kg),1284,Garden,499,10,12,449,401,38089990,https://cdn.shopify.com/s/files/1/1916/9825/products/128401.jpg?v=1631007012
2358 Plastic Transparent Unbreakable Lemon Juice Jug Set and 6 pcs Glass,2358,Kitchen,499,5,18,474,402,39241090,https://cdn.shopify.com/s/files/1/1916/9825/products/2358SKUCODE.jpg?v=1620940096
2342 Heavy unbreakable Stylish Diamond look fully Transparent Plastic Glasses Set 260ml (6pcs),2342,Kitchen,399,0,18,399,338,39241090,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_f3fc7a77-9ceb-4474-8b81-f04e724475df.jpg?v=1619723077
2341 Heavy unbreakable Stylish look fully Transparent Plastic Glasses Set 315ml (6pcs),2341,Kitchen,399,0,18,399,338,39241090,https://cdn.shopify.com/s/files/1/1916/9825/products/2341.jpg?v=1619723062
1398 Silicon Toilet Brush with Slim Holder Stand& Flat Head with Flexible Soft Bristles,1398,Home Improvement,299,5,18,284,241,39249090,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_f75dc5cc-bb56-426f-9ae3-4d4f0ede1728.jpg?v=1622733049
7219 Reusable and Washable Anti Pollution/Virus Face Pink Mask,7219,"Beauty, Health & Personal Care",399,5,5,379,361,63079090,https://cdn.shopify.com/s/files/1/1916/9825/products/07_93ac7258-3075-45ff-90d1-afc0c73113c7.jpg?v=1632226586
2391 Glass Kettle/Teapot with Stainless Steel Infuser & Lid,2391,Kitchen,599,15,18,509,431,70139900,https://cdn.shopify.com/s/files/1/1916/9825/products/1_e5fd75e0-2df0-4d6b-a549-88de3fdc6fac.jpg?v=1622137672
2362 Crystal Ice Cream Bowl Glass for Serving Set of 7pcs with 1 Large Bowl & 6 Medium Bowls,2362,Kitchen,1999,35,18,1299,1101,70139900,https://cdn.shopify.com/s/files/1/1916/9825/products/01_55d73c39-5acc-4f36-876b-e468ba2990c1.jpg?v=1620940161
1409 Stainless Steel Water Bottle (1000 ml),1409,"Kitchen Storage, Container & Rack",599,35,12,389,348,73239990,https://cdn.shopify.com/s/files/1/1916/9825/products/01_98a0e91d-ef7a-418f-bf73-f6254fe307d7.jpg?v=1628184509
2338 Muffin Cupcake Mould Bakeware Pan Tray Mould Maker 24 Slot Round Shape,2338,Kitchen,399,0,18,399,338,73239990,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_1734f36c-0568-4c5c-ab1b-4d9e2a1403dd.jpg?v=1619126400
2339 Stainless Steel Deep Fry /Mesh Strainer,2339,Kitchen Tools,299,0,18,299,253,82159900,https://cdn.shopify.com/s/files/1/1916/9825/products/2339.jpg?v=1619126411
1610 Digital Multi-Purpose Kitchen Weighing Scale (SF400A),1610,Kitchen Tools,799,35,18,519,440,84231000,https://cdn.shopify.com/s/files/1/1916/9825/products/electronic-compact-digital-kitchen-weighing-scale-sf-400a-sf-original-imaerkyrnemajhwf_6b613e47-42c2-4d17-af46-c8e5fb41e018.jpg?v=1619126233
1615 Knee Strap for Men/Women To Reduce Pain Stiffness (1pc),1615,"Beauty, Health & Personal Care",399,5,18,379,321,90211000,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_37811fae-47d0-4fea-b42d-ecbe0051d922.jpg?v=1619723027
1614 Silicone Gel Shoe Pads Foot Insoles Cushion Pad (1Pair),1614,"Beauty, Health & Personal Care",299,0,18,299,253,90211000,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_217e6cfc-1189-42db-bdbf-1a1fafd89b9b.jpg?v=1619723009
